Economic Times,"Railways starts displaying reservation charts, vacant seats online",https://economictimes.indiatimes.com/industry/transportation/railways/railways-starts-displaying-reservation-charts-vacant-seats-online/articleshow/68185065.cms,"February 27, 2019",The user-friendly interface will give graphical representation of the trai...,"https://img.etimg.com/thumb/msid-68185065,width-120,height-120/industry/transportation/railways/railways-starts-displaying-reservation-charts-vacant-seats-online.jpg"
NDTV,"At Least 20 Dead, 43 Injured After Train Crash And Fire At Cairo Station",https://www.ndtv.com/world-news/egypt-20-killed-40-injured-in-cairo-railway-station-fire-says-report-2000096," February 27, 2019  ","
                        At least 20 people were killed and 43 injured when a locomotive smashed through the buffers at the main train station in the Egyptian capital Cairo on Wednesday, the health minister said.                    ",https://c.ndtvimg.com/2019-02/5od3a5n_cairo-station-fire-feb-27-reuters_120x90_27_February_19.jpg
NDTV,"Railways Aim At Two-Locomotive Rajdhanis To Save Time, Increase Berths",https://www.ndtv.com/india-news/railways-aim-at-two-locomotive-rajdhanis-to-save-time-increase-berths-1999973," February 27, 2019  ","
                        Aiming to increase the number of berths and save travel time, the Indian Railways is probing the idea of having two locomotives to haul its Rajdhani Express trains, one in front and the other at the rear, to increase their speed and save travel time, a railway ministry official said.                    ",https://i.ndtvimg.com/i/2017-02/rajdhani-express-240_240x180_51486924914.jpg
NDTV,"RRB Group D Result Anytime Soon: Know How, Where To Check",https://www.ndtv.com/jobs/rrb-group-d-result-2019-know-where-to-check-1999884," February 28, 2019  ","
                        RRb Group D result will be available at the regional websites of RRB Chandigarh, Mumbai, Kolkata, Chennai, Ajmer, Bhopal, Secunderabad, Mumbai, Patna and others.                    ",https://c.ndtvimg.com/2018-10/998i7b4k_train-irctc-indian-railways_120x90_18_October_18.jpg
Financial Express,b'India cancels Samjhauta Express operations on its end amid escalating tensions with\xc2\xa0Pakistan',https://www.financialexpress.com/infrastructure/railways/india-cancels-samjhauta-express-operations-on-its-end-amid-escalating-tensions-with-pakistan/1501718/,"b'February 28, 2019'","b'Pakistan has already suspended services on its end, officials said here, amidst strain in ties in the aftermath of the February 14 terror attack on CRPF personnel in Pulwama and subsequent development'",https://images.financialexpress.com/2019/02/SAMJHAUTA1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"b'In a first, Indian Railways\xe2\x80\x99 ICF makes swanky coaches for UNESCO Heritage Nilgiri Mountain Railway; see\xc2\xa0pics'",https://www.financialexpress.com/infrastructure/railways/in-a-first-indian-railways-icf-makes-swanky-coaches-for-unesco-heritage-nilgiri-mountain-railway-see-pics/1501437/,"b'February 28, 2019'","b'The coaches that will now run on NMR will be swankier. This is the first time, that Integral Coach Factory (ICF) has come forward for designing and developing new age steel bodied coaches for the NMR.'",https://images.financialexpress.com/2019/02/nilgiri-collage-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,b'IRCTC ticket booking gets easier! Say goodbye to payment failures on irctc.co.in with this new\xc2\xa0step',https://www.financialexpress.com/infrastructure/railways/irctc-ticket-booking-e-ticketing-website-irctc-co-in-ipay-payments-refund/1501273/,"b'February 28, 2019'","b'Booking train ticket on the IRCTC next-generation e-ticketing website? Tired of payment failures? Big relief coming with the new IRCTC iPay,'",https://images.financialexpress.com/2019/02/irctc-660-2-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"b'Indian Railways rolls out new \xe2\x80\x98Make in India\xe2\x80\x99 160 kmph WAP-7HS locomotive for Rajdhani, Shatabdi and\xc2\xa0Duronto'",https://www.financialexpress.com/infrastructure/railways/indian-railways-rolls-out-new-make-in-india-160-kmph-wap-7hs-locomotive-for-rajdhani-shatabdi-and-duronto/1501006/,"b'February 28, 2019'","b'The newly manufactured semi high-speed passenger WAP-7HS locomotive is expected to facilitate operation of premium trains of Indian Railways such as Rajdhani Express, Shatabdi Express and Duranto Expr'",https://images.financialexpress.com/2019/02/locomotive-660-620x400.jpg?w=620&h=400&imflag=true
Financial Express,"b'Railways creates new zone for Andhra, to be headquartered in\xc2\xa0Vishakhapatnam'",https://www.financialexpress.com/infrastructure/railways/railways-creates-new-zone-for-andhra-to-be-headquartered-in-vishakhapatnam/1500818/,"b'February 28, 2019'","b'The ministry of railways on Wednesday created a new railway zone \xe2\x80\x94 South Coast Railway (ScoR) \xe2\x80\x94 which will be headquartered in Visakhapatnam. With this addition, the railways will now have 17 zone'",https://images.financialexpress.com/2019/02/67-5-620x400.jpg?w=620&h=400&imflag=true
Financial Express,b'Delhi metro on red alert in view of tensions between India and\xc2\xa0Pakistan',https://www.financialexpress.com/infrastructure/railways/delhi-metro-on-red-alert-in-view-of-tensions-between-india-and-pakistan/1500518/,"b'February 27, 2019'","b'""As advised by security agencies, a red alert has been imposed on the entire DMRC network from 6 pm onwards,"" a senior DMRC official said.'",https://images.financialexpress.com/2019/02/dmrc-1-620x400.jpg?w=620&h=400&imflag=true
Financial Express,b'Indian Railways passengers note! No more running after TTE for berths as reservation charts go public on\xc2\xa0IRCTC',https://www.financialexpress.com/infrastructure/railways/indian-railways-passengers-note-no-more-running-after-tte-for-berths-as-reservation-charts-go-public-on-irctc/1499932/,"b'February 27, 2019'",b'The information will be made available after preparation of the first chart around 4 hours before the departure of the train and the second chart will be available around 30 minutes before the train l',https://images.financialexpress.com/2019/02/irctc-660-1-620x400.jpg?w=620&h=400&imflag=true
